,Name,Location,Location_encoded,Year,Kilometers_Driven,Fuel_Type,fuel_encoded,Transmission,Transmission_encoder,Owner_Type,Owner_Type_Encoding,Mileage,Engine,Power,Seats,New_Price,Price
235,Toyota Innova Crysta 2.8 GX AT,Kochi,7,2019,14165,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,20.74,19.64
237,Honda City i-VTEC V,Kolkata,8,2011,32572,Petrol,2,Manual,1,First,0,17.4,1497.0,117.3,5.0,11.74,3.87
256,Toyota Innova Crysta 2.4 ZX MT,Pune,10,2017,43000,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,25.52,18.65
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,5,2008,143275,Diesel,1,Manual,1,First,0,22.0,1582.0,126.2,5.0,14.07,2.6
264,Mercedes-Benz GLE 350d,Coimbatore,3,2017,29819,Diesel,1,Automatic,0,First,0,11.57,2987.0,254.79,5.0,95.13,61.29
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,10,2017,121900,Diesel,1,Manual,1,First,0,22.95,1248.0,74.0,5.0,8.34,3.75
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,10,2018,45000,Diesel,1,Manual,1,First,0,22.95,1248.0,74.0,5.0,8.34,5.25
293,Honda Jazz VX,Delhi,4,2015,62178,Petrol,2,Manual,1,First,0,18.2,1199.0,88.7,5.0,8.85,4.85
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2,2016,48000,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,25.4,20.25
303,Honda City i-VTEC CVT ZX,Mumbai,9,2017,15000,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,16.67,12.69
310,Mercedes-Benz GLE 250d,Hyderabad,5,2017,29000,Diesel,1,Automatic,0,First,0,17.9,2143.0,201.15,5.0,79.43,57.0
314,Honda Brio 1.2 VX MT,Kochi,7,2012,91931,Petrol,2,Manual,1,First,0,18.5,1198.0,86.8,5.0,6.62,3.13
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,3,2017,97430,Diesel,1,Automatic,0,First,0,14.75,2967.0,245.0,7.0,1.04,62.67
343,Maruti Vitara Brezza LDi,Chennai,2,2016,45000,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,9.12,7.15
348,BMW 3 Series Luxury Line,Kochi,7,2015,30717,Diesel,1,Automatic,0,Second,1,21.76,1995.0,190.0,5.0,58.67,25.99
351,Skoda Octavia RS,Jaipur,6,2005,100000,Petrol,2,Automatic,0,First,0,14.45,1984.0,227.0,5.0,28.37,2.05
352,Maruti Alto K10 VXI,Pune,10,2017,30000,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.48,3.75
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,5,2017,21000,Diesel,1,Automatic,0,First,0,19.33,1999.0,177.0,5.0,72.64,52.0
357,Skoda Superb L&K 1.8 TSI AT,Kochi,7,2019,13747,Petrol,2,Automatic,0,First,0,14.67,1798.0,177.46,5.0,36.15,27.3
365,Mini Clubman Cooper S,Pune,10,2017,8350,Petrol,2,Manual,1,First,0,13.8,1998.0,192.0,5.0,44.59,35.0
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,5,2017,39000,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,12,9.49
380,Honda BRV i-VTEC V CVT,Kochi,7,2017,35676,Petrol,2,Automatic,0,First,0,16.0,1497.0,117.3,7.0,14.65,9.48
389,Jaguar XE Portfolio,Mumbai,9,2017,9000,Petrol,2,Automatic,0,First,0,13.5,1999.0,246.74,5.0,53.72,34.5
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,5,2018,12000,Diesel,1,Automatic,0,First,0,13.5,2477.0,175.56,7.0,33.91,28.0
413,BMW 3 Series Luxury Line,Mumbai,9,2015,41000,Diesel,1,Automatic,0,First,0,21.76,1995.0,190.0,5.0,60.88,25.5
414,Honda BR-V i-VTEC S MT,Pune,10,2017,9000,Petrol,2,Manual,1,First,0,15.4,1497.0,117.3,7.0,12.51,8.5
417,Hyundai i20 Active SX Petrol,Jaipur,6,2017,40250,Petrol,2,Manual,1,First,0,17.19,1197.0,81.86,5.0,9.74,6.9
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,3,2018,22397,Petrol,2,Automatic,0,First,0,11.5,2996.0,367.0,5.0,95.38,70.99
423,Audi A6 35 TFSI Matrix,Mumbai,9,2016,47000,Petrol,2,Automatic,0,First,0,15.26,1798.0,187.74,5.0,60.59,24.5
427,Mini Cooper Convertible S,Mumbai,9,2014,11900,Petrol,2,Automatic,0,First,0,16.82,1998.0,189.08,4.0,44.28,28.5
442,Mahindra Bolero ZLX,Coimbatore,3,2016,82756,Diesel,1,Manual,1,First,0,15.96,2523.0,62.1,7.0,11.28,7.7
446,Volkswagen Vento 1.6 Comfortline,Mumbai,9,2017,15000,Petrol,2,Manual,1,Second,1,16.09,1598.0,103.5,5.0,11.48,7.1
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,4,2018,12923,Diesel,1,Manual,1,First,0,25.1,1248.0,88.5,5.0,11.26,8.92
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,3,2016,86642,Diesel,1,Automatic,0,First,0,15.17,1968.0,181.0,5.0,43.65,20.37
458,BMW 3 Series Luxury Line,Bangalore,1,2016,19235,Diesel,1,Automatic,0,First,0,21.76,1995.0,190.0,5.0,62.07,36.5
473,Mercedes-Benz E-Class E 220 d,Kochi,7,2018,26405,Petrol,2,Automatic,0,First,0,12.6,1950.0,191.34,5.0,86.97,51.43
489,Mercedes-Benz GLS 350d 4MATIC,Pune,10,2017,129000,Diesel,1,Automatic,0,First,0,11.0,2987.0,258.0,7.0,1,56.0
518,Maruti Wagon R LXI,Ahmedabad,0,2012,30000,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,4.74,3.3
519,Hyundai Creta 1.6 SX,Chennai,2,2016,69434,Petrol,2,Manual,1,First,0,15.8,1591.0,121.3,5.0,14.84,8.0
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,7,2019,13190,Petrol,2,Automatic,0,First,0,0.0,1950.0,181.43,5.0,49.49,38.99
549,BMW X1 sDrive 20d xLine,Coimbatore,3,2017,31645,Diesel,1,Automatic,0,First,0,20.68,1995.0,190.0,5.0,48.18,29.4
555,Maruti Ertiga ZDI,Pune,10,2013,105000,Diesel,1,Manual,1,Second,1,25.47,1248.0,88.5,7.0,12.34,6.75
558,Skoda Rapid 1.5 TDI Style,Hyderabad,5,2017,31000,Diesel,1,Manual,1,First,0,21.13,1498.0,108.4,5.0,15.38,10.5
562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,0,2016,100200,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,19.21,17.0
568,Jeep Compass 2.0 Limited,Jaipur,6,2018,29000,Diesel,1,Manual,1,First,0,17.1,1956.0,170.0,5.0,22.95,19.0
573,Mahindra Bolero ZLX,Jaipur,6,2012,105000,Diesel,1,Manual,1,Second,1,15.96,2523.0,62.1,7.0,11.15,6.0
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,3,2018,33558,Diesel,1,Manual,1,First,0,20.14,1498.0,88.0,5.0,10.32,8.12
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,3,2019,40674,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,28.05,24.82
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,9,2018,10003,Diesel,1,Automatic,0,First,0,17.9,2143.0,170.0,5.0,59.77,48.5
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,9,2016,25000,Diesel,1,Automatic,0,First,0,21.5,1498.0,108.5,5.0,15.86,9.45
615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,5,2017,52000,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,8.0,19.43,17.5
618,Maruti Vitara Brezza ZDi,Pune,10,2016,21558,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,10.65,8.9
632,Mini Cooper 5 DOOR D,Mumbai,9,2016,11000,Diesel,1,Automatic,0,First,0,20.7,1496.0,113.98,5.0,42.12,29.5
635,Tata Safari Storme VX Varicor 400,Jaipur,6,2017,37000,Diesel,1,Manual,1,First,0,14.1,2179.0,154.0,7.0,16.95,11.25
636,Honda BR-V i-DTEC VX MT,Kochi,7,2017,32249,Diesel,1,Manual,1,First,0,21.9,1498.0,98.6,7.0,15.45,10.79
639,Maruti Ignis 1.2 Alpha,Mumbai,9,2017,7000,Petrol,2,Manual,1,First,0,20.89,1197.0,81.8,5.0,7.87,5.7
654,Maruti Alto K10 VXI,Bangalore,1,2011,64357,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.7,2.75
657,Honda BRV i-VTEC V CVT,Mumbai,9,2017,18000,Petrol,2,Automatic,0,First,0,16.0,1497.0,117.3,7.0,15.02,9.25
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,3,2017,18108,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,12.56,11.31
671,Nissan Sunny XV CVT,Kochi,7,2013,37199,Petrol,2,Automatic,0,First,0,17.5,1498.0,99.6,5.0,11.33,5.43
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,1,2017,64798,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,26.45,18.75
714,Maruti Dzire AMT ZXI Plus,Hyderabad,5,2017,13000,Petrol,2,Automatic,0,First,0,22.0,1197.0,81.8,5.0,10.34,8.5
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,8,2017,14000,Diesel,1,Manual,1,First,0,24.0,1186.0,73.97,5.0,7.46,4.9
732,Honda City i-VTEC V,Delhi,4,2014,55818,Petrol,2,Manual,1,Second,1,17.4,1497.0,117.3,5.0,11.85,5.7
741,Maruti Ertiga VDI,Ahmedabad,0,2017,63939,Diesel,1,Manual,1,First,0,25.47,1248.0,88.5,7.0,10.41,7.75
742,Maruti Celerio VXI AMT,Delhi,4,2014,35214,Petrol,2,Automatic,0,Second,1,23.1,998.0,67.04,5.0,5.57,3.2
746,Mini Cooper 5 DOOR D,Hyderabad,5,2014,60000,Diesel,1,Automatic,0,Second,1,20.7,1496.0,113.98,5.0,42.48,23.5
750,Honda City i-VTEC CVT VX,Bangalore,1,2015,18955,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,16.04,10.65
756,Honda Jazz VX,Kochi,7,2018,20024,Petrol,2,Manual,1,First,0,18.2,1199.0,88.7,5.0,9.1,8.46
762,Ford Figo Titanium Diesel,Kolkata,8,2015,72035,Diesel,1,Manual,1,First,0,25.5,1498.0,99.0,5.0,7.65,2.5
784,Hyundai Creta 1.6 SX,Ahmedabad,0,2016,21000,Petrol,2,Manual,1,First,0,15.8,1591.0,121.3,5.0,13.74,10.9
791,Maruti Wagon R VXI,Coimbatore,3,2015,72599,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.72,4.32
796,Mahindra XUV500 W9 AT,Coimbatore,3,2019,19654,Diesel,1,Automatic,0,First,0,14.0,2179.0,155.0,7.0,21.33,17.63
802,Mercedes-Benz GLE 250d,Mumbai,9,2016,21000,Diesel,1,Automatic,0,First,0,17.9,2143.0,201.15,5.0,78.76,56.0
809,Honda Amaze VX Diesel,Hyderabad,5,2018,12000,Diesel,1,Manual,1,First,0,27.4,1498.0,98.6,5.0,10.34,8.5
813,Maruti Alto K10 LXI,Pune,10,2014,49000,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.29,2.3
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,9,2017,51000,Diesel,1,Manual,1,First,0,21.66,1498.0,108.62,5.0,10.04,6.45
838,Mahindra Xylo H4,Chennai,2,2016,215000,Diesel,1,Manual,1,First,0,14.02,2179.0,118.3,7.0,11.67,7.5
850,Toyota Innova Crysta 2.4 ZX MT,Pune,10,2017,43200,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,25.52,18.6
869,Hyundai Xcent 1.2 CRDi S,Jaipur,6,2018,25302,Diesel,1,Manual,1,First,0,25.4,1186.0,73.97,5.0,8.56,5.9
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,7,2018,41736,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,27,19.92
878,Renault KWID 1.0 RXT Optional,Jaipur,6,2017,63262,Petrol,2,Manual,1,First,0,21.7,999.0,67.0,5.0,4.78,3.25
880,Maruti Celerio VXI Optional AMT,Pune,10,2017,7500,Petrol,2,Automatic,0,First,0,23.1,998.0,67.04,5.0,6.14,5.0
884,Maruti Dzire VXI,Kolkata,8,2011,46687,Petrol,2,Manual,1,First,0,22.0,1197.0,81.8,5.0,7.3,2.7
897,Datsun redi-GO T Option,Bangalore,1,2016,20487,Petrol,2,Manual,1,First,0,22.7,799.0,53.64,5.0,4.37,2.66
912,Maruti Eeco 7 Seater Standard,Coimbatore,3,2012,56661,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,7.0,4.98,3.61
919,Honda City i-VTEC CVT VX,Mumbai,9,2015,30000,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,15.29,8.65
940,Jeep Compass 2.0 Limited 4X4,Mumbai,9,2017,52000,Diesel,1,Manual,1,First,0,16.3,1956.0,170.0,5.0,24.26,20.0
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,7,2018,31427,Diesel,1,Automatic,0,First,0,15.68,1999.0,177.0,5.0,75.12,59.72
942,Maruti Baleno Alpha Diesel,Kolkata,8,2016,29000,Diesel,1,Manual,1,First,0,27.39,1248.0,74.0,5.0,9.53,6.5
946,Mitsubishi Pajero Sport 4X4,Bangalore,1,2013,132000,Diesel,1,Manual,1,First,0,13.5,2477.0,175.56,7.0,34.6,12.49
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,3,2018,92056,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,26.45,18.39
954,Honda Jazz VX Diesel,Mumbai,9,2016,38000,Diesel,1,Manual,1,First,0,27.3,1498.0,98.6,5.0,11.15,6.21
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,9,2018,8682,Diesel,1,Automatic,0,First,0,0.0,1950.0,194.0,5.0,52.26,39.5
984,BMW 5 Series 520d Luxury Line,Mumbai,9,2012,61240,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,70.43,17.5
1001,Renault KWID RXT Optional,Hyderabad,5,2018,1900,Petrol,2,Manual,1,First,0,25.17,799.0,53.3,5.0,4.8,4.45
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,3,2019,23154,Diesel,1,Manual,1,First,0,23.0,1498.0,98.96,5.0,12.12,11.65
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2,2017,67489,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,19.37,16.5
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,3,2014,56658,Diesel,1,Manual,1,First,0,20.64,1498.0,108.5,5.0,12.14,5.39
1030,Toyota Fortuner 2.8 4WD MT,Kochi,7,2013,105072,Diesel,1,Manual,1,First,0,14.24,2755.0,174.5,7.0,36.69,13.28
1039,Jeep Compass 1.4 Limited Option,Mumbai,9,2017,4000,Petrol,2,Automatic,0,First,0,16.0,1368.0,160.0,5.0,23.68,17.75
1044,Audi A4 35 TDI Technology,Hyderabad,5,2015,45000,Diesel,1,Automatic,0,First,0,18.25,1968.0,187.74,5.0,55.61,25.0
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,3,2018,18385,Petrol,2,Automatic,0,First,0,14.8,1497.0,121.36,5.0,14.1,12.41
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,3,2016,74611,Diesel,1,Manual,1,First,0,25.1,1248.0,88.5,5.0,13.26,7.94
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,1,2016,108000,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,28.05,20.5
1072,Maruti Ertiga VDI,Pune,10,2016,130000,Diesel,1,Manual,1,First,0,25.47,1248.0,88.5,7.0,11.27,7.0
1077,Maruti Vitara Brezza ZDi Plus,Kochi,7,2019,34688,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.2,10.49
1080,Tata Zest Revotron 1.2 XT,Mumbai,9,2014,40000,Petrol,2,Manual,1,First,0,17.57,1193.0,88.7,5.0,8.56,3.95
1094,Maruti Vitara Brezza VDi,Kolkata,8,2017,35000,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,9.46,6.5
1096,Mahindra XUV300 W8 Diesel,Chennai,2,2012,97000,Diesel,1,Manual,1,First,0,20.0,1497.0,115.0,5.0,12.79,7.25
1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,7,2014,89614,Diesel,1,Manual,1,First,0,22.0,1582.0,126.2,5.0,15.57,6.01
1103,Tata Hexa XT,Delhi,4,2017,55000,Diesel,1,Manual,1,First,0,17.6,2179.0,153.86,7.0,19.86,12.0
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,3,2018,9565,Petrol,2,Manual,1,First,0,23.84,1199.0,84.0,5.0,6.59,5.88
1113,Mercedes-Benz E-Class E 220 d,Kochi,7,2018,20446,Petrol,2,Automatic,0,First,0,12.6,1950.0,191.34,5.0,86.97,51.35
1117,Mini Cooper 5 DOOR D,Ahmedabad,0,2014,34000,Diesel,1,Automatic,0,First,0,20.7,1496.0,113.98,5.0,42.12,22.0
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,4,2017,8471,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.54,5.0
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,5,2016,69000,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,26.56,19.75
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,3,2017,30090,Diesel,1,Automatic,0,First,0,19.6,1461.0,108.45,5.0,15.05,11.44
1146,Mahindra Bolero ZLX,Mumbai,9,2016,40448,Diesel,1,Manual,1,First,0,15.96,2523.0,62.1,7.0,11.01,3.5
1147,Maruti Vitara Brezza ZDi,Coimbatore,3,2018,64456,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11,10.46
1149,Honda Amaze S Petrol,Kochi,7,2016,51672,Petrol,2,Manual,1,First,0,19.5,1199.0,88.76,5.0,7.55,5.68
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,5,2017,20000,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,7.82,5.98
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,7,2018,50234,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,6.32,4.77
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,9,2015,40600,Petrol,2,Automatic,0,First,0,17.0,1591.0,121.3,5.0,15.14,7.2
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,0,2013,87000,Diesel,1,Automatic,0,First,0,22.0,1582.0,126.2,5.0,15.72,5.9
1192,Volvo S60 D4 Momentum,Hyderabad,5,2015,51000,Diesel,1,Automatic,0,First,0,27.03,1969.0,190.0,5.0,45.67,25.0
1195,BMW 3 Series 320d Luxury Line,Chennai,2,2012,65000,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,54.7,14.0
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,5,2017,24393,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,7.0,22.87,20.4
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,5,2019,1000,Petrol,2,Manual,1,First,0,18.78,999.0,75.0,5.0,6.74,5.68
1200,Mitsubishi Pajero Sport 4X4,Mumbai,9,2013,59000,Diesel,1,Manual,1,First,0,13.5,2477.0,175.56,7.0,33.09,12.75
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,4,2017,21000,Petrol,2,Automatic,0,First,0,14.28,1798.0,138.03,5.0,23.25,18.0
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,0,2012,52000,Diesel,1,Manual,1,First,0,21.43,1364.0,86.79,5.0,19.27,6.5
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,4,2018,1000,Diesel,1,Automatic,0,First,0,13.6,1999.0,177.0,5.0,52.77,40.0
1243,Mahindra Xylo D4,Chennai,2,2016,85000,Diesel,1,Manual,1,First,0,14.95,2489.0,93.7,7.0,11.67,6.15
1247,Maruti Swift VDI,Kochi,7,2017,34613,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,7.92,6.24
1256,Hyundai Xcent 1.2 VTVT S,Bangalore,1,2014,54000,Petrol,2,Manual,1,First,0,20.14,1197.0,81.86,5.0,7.85,5.5
1270,Honda City i-VTEC CVT VX,Kochi,7,2018,22974,Petrol,2,Automatic,0,First,0,18.0,1497.0,117.3,5.0,15.55,11.97
1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,0,2015,65012,Diesel,1,Manual,1,First,0,14.24,2755.0,174.5,7.0,32.45,18.9
1274,Maruti Eeco 7 Seater Standard,Hyderabad,5,2015,90413,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,7.0,4.83,2.95
1301,Maruti Swift LDI,Mumbai,9,2015,14000,Diesel,1,Manual,1,First,0,28.4,1248.0,74.0,5.0,7.13,5.25
1303,BMW 5 Series 520d Luxury Line,Coimbatore,3,2012,44450,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,71.82,24.68
